1,679,542.83,206.92,24.11,44.98,1,-1,-1,-1
1,678,456.54,213.43,25.13,57.53,1,-1,-1,-1
1,677,222.57,179.99,33.77,108.93,1,-1,-1,-1
1,676,286.55,154.14,71.34,167.33,1,-1,-1,-1
2,678,454.37,205.49,27.10,62.78,1,-1,-1,-1
2,677,220.76,176.96,34.97,113.39,1,-1,-1,-1
2,676,292.26,157.25,60.04,164.38,1,-1,-1,-1
3,678,453.35,204.50,27.79,66.75,1,-1,-1,-1
3,677,220.47,179.74,35.22,114.86,1,-1,-1,-1
3,676,298.30,156.82,54.91,165.68,1,-1,-1,-1
4,678,452.51,208.58,25.58,61.79,1,-1,-1,-1
4,677,220.49,182.59,35.15,113.41,1,-1,-1,-1
4,676,298.54,149.19,62.10,184.45,1,-1,-1,-1
5,678,450.67,212.22,23.94,56.53,1,-1,-1,-1
5,677,218.49,179.94,36.77,119.89,1,-1,-1,-1
5,676,302.66,146.79,62.68,186.86,1,-1,-1,-1
6,678,451.19,214.95,22.97,54.12,1,-1,-1,-1
6,677,217.75,180.82,37.33,116.80,1,-1,-1,-1
6,676,306.09,139.01,68.53,198.11,1,-1,-1,-1
7,678,450.63,217.47,28.56,63.15,1,-1,-1,-1
7,677,216.09,177.88,38.59,118.65,1,-1,-1,-1
7,676,304.63,136.65,74.82,206.25,1,-1,-1,-1
8,678,450.95,220.78,31.07,65.52,1,-1,-1,-1
8,677,214.20,174.95,40.25,122.45,1,-1,-1,-1
8,676,310.14,133.15,78.56,215.62,1,-1,-1,-1
9,678,449.57,219.27,28.69,62.39,1,-1,-1,-1
9,677,213.11,179.18,40.15,118.80,1,-1,-1,-1
9,676,312.40,136.24,79.57,210.70,1,-1,-1,-1
10,678,450.84,219.51,27.64,60.17,1,-1,-1,-1
10,677,216.80,178.45,38.71,120.82,1,-1,-1,-1
10,676,317.95,140.09,82.31,212.46,1,-1,-1,-1
11,678,451.68,217.43,29.02,60.80,1,-1,-1,-1
11,677,216.52,178.24,41.36,127.16,1,-1,-1,-1
11,676,324.95,138.52,85.68,220.32,1,-1,-1,-1
12,678,451.51,219.07,29.64,62.46,1,-1,-1,-1
12,677,218.06,178.17,42.25,134.04,1,-1,-1,-1
12,676,332.04,132.29,88.14,226.59,1,-1,-1,-1
13,678,453.84,218.43,28.64,61.78,1,-1,-1,-1
13,677,215.66,178.90,41.74,137.43,1,-1,-1,-1
13,676,340.82,128.81,89.26,231.15,1,-1,-1,-1
14,678,458.44,222.15,26.29,59.28,1,-1,-1,-1
14,677,216.45,178.08,44.47,138.58,1,-1,-1,-1
14,676,348.66,121.27,88.92,246.27,1,-1,-1,-1
15,682,592.44,223.66,21.71,28.49,1,-1,-1,-1
15,678,459.94,223.98,24.49,56.90,1,-1,-1,-1
15,677,217.36,175.78,41.88,141.86,1,-1,-1,-1
15,676,361.18,114.33,89.09,259.12,1,-1,-1,-1
16,682,592.06,221.11,24.32,33.31,1,-1,-1,-1
16,678,461.40,222.88,22.97,57.77,1,-1,-1,-1
16,677,219.02,175.76,40.89,143.12,1,-1,-1,-1
16,676,369.78,108.31,91.47,272.95,1,-1,-1,-1
17,682,591.14,217.67,25.85,35.09,1,-1,-1,-1
17,678,458.46,205.38,25.39,72.26,1,-1,-1,-1
17,677,217.66,172.69,46.86,148.58,1,-1,-1,-1
17,676,378.23,104.66,95.24,286.84,1,-1,-1,-1
18,677,214.59,171.96,46.55,152.62,1,-1,-1,-1
18,676,388.45,94.07,98.47,298.45,1,-1,-1,-1
19,677,214.94,170.01,53.72,156.40,1,-1,-1,-1
19,676,403.45,85.16,102.74,306.82,1,-1,-1,-1
20,677,212.35,165.73,56.43,159.74,1,-1,-1,-1
20,676,410.77,74.85,108.44,326.44,1,-1,-1,-1
21,677,208.56,164.20,54.66,162.09,1,-1,-1,-1
21,676,423.87,68.31,113.69,338.15,1,-1,-1,-1
22,677,206.65,163.03,54.38,167.80,1,-1,-1,-1
22,676,444.85,56.67,116.16,361.48,1,-1,-1,-1
23,677,202.43,160.30,56.99,171.19,1,-1,-1,-1
23,676,459.08,42.94,135.72,398.45,1,-1,-1,-1
24,677,196.11,155.26,59.14,176.23,1,-1,-1,-1
24,676,467.18,31.27,151.67,427.34,1,-1,-1,-1
25,677,192.28,151.44,60.77,184.21,1,-1,-1,-1
25,676,474.87,21.18,159.33,444.54,1,-1,-1,-1
26,677,190.34,149.52,64.13,192.42,1,-1,-1,-1
26,676,477.56,18.68,163.64,439.59,1,-1,-1,-1
27,677,184.39,144.46,65.85,199.74,1,-1,-1,-1
28,685,327.47,217.43,16.31,38.92,1,-1,-1,-1
28,677,175.28,140.64,70.26,207.62,1,-1,-1,-1
29,685,325.64,216.21,15.80,38.27,1,-1,-1,-1
